movie,review,rating,sentiment
VACATION FRIENDS,"Þetta hefði getað verið mjög týpísk og gleymanleg mynd en höfundarnir og leikararnir björguðu henni og gerðu hana eftirminnilega og góða. Myndin er ekkert meistaraverk en samt mjög skemmtileg, fyndin og vanmetin mynd. Kannski aðeins of löng samt.",7,Positive
HORRIBLE BOSSES 2,Næstum því jafn góð og fyrsta því að myndin hefur upprunalega og sterka sögu. Sagan er samt ekki jafn góð og í fyrstu og höfundarnir voru að renna út á hugmyndum þegar líður á. Samt er tríóið ennþá frábært og myndin er mjög skemmtileg og fyndin.,7,Positive
HORRIBLE BOSSES,Aðaltríóið er frábært og er samband þeirra það besta við myndina. Myndin tekst líka að vera mjög fyndin og skemmtileg. Eitt af bestu gamanmyndum aldarinnar hingað til sem hefur ekki fengið nógu mikla athygli. Hugmyndin er líka mjög góð og sniðug.,8,Positive
STRAYS,Mjög sniðug hugmynd sem að er framkvæmd mjög vel. Tæknibrellurnar eru til fyrirmyndar ásamt góðri leikstjórn og handriti. Leikarnir standa sig líka frábærlega. Án efa besta gamanmynd sem að hefur komið út í nokkur ár. Mjög skemmtileg og fyndin mynd.,8,Positive
"CRAZY, STUPID, LOVE",Senurnar sem að gerast á næturklúbbnum eru bestu senurnar. Dramasenurnar sem að koma seinna í myndinni eru ekkert sérstakar. En leikurinn og boðskapurinn í myndinni var mjög góður ásamt fínu handriti. Ekkert meistaraverk en samt fínasta mynd.,7,Positive
DUE DATE,"Aðeins of lík Planes, Trains and Automobiles en samt frekar góð en gleymanleg mynd. Leikurinn og sambandið hjá aðalkarakterunum var frábært og bætti myndina. Söguþráðurinn er ekkert sérstakur en myndin hefur alveg góð dramatísk og mjög fyndin augnablik.",7,Positive
WHITE MEN CAN'T JUMP (1992),"Hreint út sagt frábær költ klassík mynd sem að vill ekki flækja hlutina óþarflega. Myndin er mjög áhugaverð og skemmtileg og heldur myndin athygli manns allan tímann. Handritið, leikstjórnin og leikurinn eru alveg til fyrirmyndar.",8,Positive
INDIANA JONES AND THE DIAL OF DESTINY,Myndin byrjar mjög vel með hestaatriðinu og lestraratriðinu en myndin fer að dala þegar að fókusinn fer á Helenu. Ford gefur okkur eiginlega engin spennuatriði sem að er vonbrigði. Myndin er samt fín leið til að enda seríuna.,7,Positive
INDIANA JONES AND THE KINGDOM OF THE CRYSTAL SKULL,Gamall Ford getur ekki uppfyllt væntingar okkar til þessarar seríu. Sagan um geimverur var heimskuleg ásamt sögunni um soninn. Það voru samt nokkrar góðar senur. Myndin fær sex stjörnur fyrir ágætis afþreyingu.,6,Positive
INDIANA JONES AND THE LAST CRUSADE,Klárlega ein besta kvikmynd sögunnar. Ford og Connery voru auðvitað frábærir í myndinni ásamt öðrum karakterum. Allar spennusenurnar voru frábærar ásamt góðum söguþræði og síðasta atriðið er eitt besta atriði kvikmyndasögunnar.,10,Positive
INDIANA JONES AND THE TEMPLE OF DOOM,"Söguþráðurinn er of alltof dimmur og gengur of langt. Samt er mikið af góðum senum og sviðsmyndum. Myndin gaf okkur líka Short Round, einn besta karakterinn í seríunni og síðan líka Willie, einn versta karakterinn í seríunni.",7,Positive
INDIANA JONES AND THE RAIDERS OF THE LOST ARK,"Byrjunaratriðið og lokasenurnar eru eitt af bestu senum kvikmyndasögunnar en miðjuhlutinn er ekki jafn góður því að söguþráðurinn í myndinni er ekki nógu merkilegur. Samt auðvitað frábær leikur, leikstjórn og tónlist.",8,Positive
SPY,Ég hef séð milljón svipaðar myndir áður en þessi stendur upp úr því að hún er mjög skemmtileg. Þrátt fyrir nokkur hallærisleg augnablik þá nær myndin að vera mjög fyndin. Myndin er reyndar að fara á aðeins of marga áfangastaði sem að er frekar ruglandi.,8,Positive
BURN AFTER READING,Fullkomið dæmi um þegar að söguþráðurinn er mjög flókinn og góður á sama tíma. Leikstjórnin var sérstaklega góð í myndinni ásamt góðum frammistöðum hjá öllum leikurunum. Hugmyndin að myndinni er líka mjög góð en samt frekar ruglandi yfir höfuð.,7,Positive
THE FULL MONTY,Góð hugmynd að mynd en framkvæmdin er ekki alveg nógu góð því að lopinn er teygður aðeins of mikið. Myndin er samt alveg skemmtileg og nokkuð fyndin og standa leikararnir sér vel. Myndin er ekkert meistaraverk en samt bara fín og afþreyjandi mynd.,6,Positive
HEAVYWEIGHTS, Í fyrsta lagi skil ég ekki alveg hver markhópur myndarinnar er. Er hún fyrir feitt fólk sem að hefur aldrei áður hitt annað feitt fólk? Ben Stiller var með góða frammistöðu og myndin er líka frekar skemmtileg og fyndin en aðallega er hún skrýtin.,7,Positive
FATHER FIGURES,Vanmetin mynd sem að hefði bara átt að vera gamanmynd í stað þess að vera smá drama líka. Það er mikið í myndinni sem að var líka mjög ruglandi. Leikarnir og handritið var samt mjög gott. Endirinn var síðan frekar mikil vonbrigði en samt fallegur.,7,Positive
ACTION POINT,"Myndin hefði átti að taka sig meira alvarlega og ekki vera bara Jackass mynd. Fyrri hluti myndarinnar var góður en þegar fókusinn er alveg færður á dótturina missti ég áhugann. Myndin er samt fyndin, skemmtileg og áhugaverð en samt vantar eitthvað.",7,Positive
"CONFESS, FLETCH",Jon Hamm er enginn Chevy Chase en mér líkaði samt við myndina. Því að myndin var skemmtileg og fyndin. Það versta við myndina er hvernig allir aðrir karakter hata Fletch og hversu asnalegur hann er. Þetta hefði því ekki átt að vera Fletch mynd.,7,Positive
FLETCH LIVES,Það versta við myndina er ómerkilega og leiðinlega sagan. Að endursegja aðra bók hefði verið betra. Chevy er ennþá frábær en aðrir karakterar eru leiðinlegir. Myndin er vonbrigði út af gæðum fyrri myndarinnar. Myndin er samt fyndin og skemmtileg.,7,Positive
GROWN UPS 2,"Í stað þess að hafa sögu eru bara stuttir sketsar. Myndin er ógeðsleg, ófyndin og í alla staði hræðileg. Ég hló einu sinni. Allt sem að var gott við fyrri myndina er eyðilagt. Ætla aldrei aftur að horfa á hana. Eitt af af verstu myndum allra tíma.",3,Negative
GROWN UPS,Klárlega eitt af bestu og skemmtilegustu gamanmyndum mannkynssögunnar. Hugmyndin er sniðug og voru leikararnir líka frábærir. Myndin var reyndar aðeins of löng en góðu karakterarnir gera upp fyrir það. Klassísk mynd sem að fer yfir væntingarnar þínar.,8,Positive
MAD FAMILIES,Þessir góðu leikarar gátu því miður ekki bjargað ómerkilega efniviðinum sem að myndin hafði. Myndin er ágætis skemmtun en ég myndi samt aldrei horfa á hana aftur. Síðan er þetta líka mjög gleymanleg  mynd sem að hafði samt möguleika á að vera góð.,6,Positive
ANGER MANAGEMENT,Þrátt fyrir að aðaldúóið sé mjög fyndið þá er myndin sjálf ekkert mjög fyndin en samt mjög skemmtileg. Ástarsagan er líklega það besta við myndina en hún er mjög góð og frumleg. Það eru nokkur eftirminnileg atvik en samt frekar gleymanleg mynd.,7,Positive
EVEREST (2015),Þrátt fyrir myndin er vel gerð finnst mér samt eins og söguþráðurinn hefði getað verið betri.  Leikstjórnin og leikurinn eru samt til fyrirmyndar ásamt góðum brellum. Myndin er líka afþreyjandi og spennandi svo að handritið er það eina sem klikkar.,6,Positive
RIDE ALONG 2,Mér líkar við að er mikið meira að gerast í þessari mynd og síðan er fjögurra manna hópurinn frábær. En þrátt fyrir að söguþráðurinn er ágætur og að það eru nokkrar mjög fyndnar senur þá vantar eitthvað við myndina sem að gerir hana frekar ofmetna.,7,Positive
THE WEDDING RINGER,"Þrátt fyrir að virka sem mjög einföld mynd þá hafði ég gaman af henni. Vinahópurinn í myndinni er líka frábær, fyndinn og trúarlegur. Síðan er myndin fyllt með æðislegum atriðum. Ekki fullkomin mynd en mjög góð mynd. Vona að það komi framhald.",8,Positive
THE GREAT OUTDOORS,Því miður ekki jafn góð og í minningunni en samt góð. John og Dan eru frábærir leikarar og bjarga þeir myndinni. Hugmyndin er góð en ég held að hún hefði átt að vera stækkuð aðeins. Það er síðan líka mikið af fallegum augnablikum í myndinni.,7,Positive
RIDE ALONG,Það gerist rosalega lítið í þessari löngu mynd og eru einungis bútar af henni sem að eru góðir en það er aðallega endirinn. Myndin er samt frekar fyndin en samt ekkert mjög. Samband aðalleikarana er aftur á móti mjög gott en samt er þetta ofmetin mynd.,6,Positive
THE BLUES BROTHERS,"Myndin er aðeins of löng og söngatriðin eru ekkert sérstök, en leikurinn er samt frábær og er spennan og leikstjórnin í hæsta gæðaflokki. Einnig er myndin mjög fyndin, klassísk og frábær og hefur myndin besta bílaeltingarleik kvikmyndasögunnar.",8,Positive
AIRPLANE II - THE SEQUEL,Það kom mér á óvart að ég hafði gaman af myndinni því að sagan er alveg eins og í upprunalegu. Myndin er ekki jafn fyndin og fyrsta út af endurupplifununum en samt mjög fyndin mynd. Senurnar með William Shatner eru líka bestu senurnar.,7,Positive
POLICE ACADEMY - MISSION TO MOSCOW,Allt það sem að gerði kvikmyndaseríuna skemmtilega er tekið í burtu í þessari leiðinlegu og heimskulegu mynd. Það voru nokkur fyndin grín en þau eru sett upp mjög illa. Enginn karakter nýtur sín og er tilvera myndarinnar óþarfi.,3,Negative
POLICE ACADEMY 6 - CITY UNDER SIEGE,Mjög gleymanleg mynd en samt alveg ágæt. Fer ekki í flokk með bestu né verstu myndunum í seríunni. Harris og Proctor eru það besta við myndina og hefur myndin gott leikaraval og er nokkuð fyndin. Sagan var meira að segja ágæt.,6,Positive
POLICE ACADEMY 5 - ASSIGNMENT MIAMI BEACH,Myndin hefði verið betri ef að Mahoney væri í henni en samt er myndin yfir höfuð vond. Það eru nokkur fyndin grín en myndin er ein stór tímasóun. Skrýtið hversu margir ákveðu að leika í myndinni. Sagan er líka heimskuleg.,4,Negative
AIR,"Alls ekkert eitt af bestu myndum kvikmyndasögunnar en það er eitthvað mjög heillandi við tóninn. Þó að leikurinn, leikstjórnin og upptakan eru til fyrirmyndar þá gerist frekar lítið í myndinni og senurnar eru aðeins of langar. Samt sem áður er þetta góð mynd.",8,Positive
POLICE ACADEMY 4 - CITIZENS ON PATROL,Þrátt fyrir að sagan er svipuð og í þriðju myndinni þá er þessi mynd mikið betri útgáfa af henni. Karakteravalið er upp á sitt besta hérna og er þetta bara mjög fyndin og skemmtileg mynd. Titillag myndarinnar er líka frábært.,8,Positive
POLICE ACADEMY 3 - BACK IN TRAINING,Alls ekkert vond mynd en bara frekar gleymanleg. Sagan er mjög sniðug en myndin er ekkert mjög fyndin þrátt fyrir að hún hefur sín augnablik eins og ballsenurnar. Leikaravalið er líka gott en Mauser eyðileggur myndina aðeins.,6,Positive
POLICE ACADEMY 2 - THEIR FIRST ASSIGNMENT,Vandamálið við myndina er að hún er alltof ólík fyrstu myndinni og er sagan og nýju leikararnir ekki alveg að virka. Myndin er samt fyndnari en fyrsta og hefur mikið af eftirminnilegum senum. Samt er fyrsta aðeins betri.,7,Positive
GAME NIGHT,"Mynd sem að er mjög skemmtileg á meðan þú horfir á hana, en hún verður síðan gleymanleg. Þau hefðu getað stækkað hugmyndina eitthvað aðeins meira finnst mér. En þetta er samt mjög skemmtileg og fyndin mynd engu að síður og eru karakterarnir frábærir.",8,Positive
POLICE ACADEMY,Kannski ekki ein fyndnasta mynd í heimi en samt skemmtileg mynd sem að ég ólst upp við. Sagan er ekkert sérstök en karakterarnir í myndinni eru mjög skemmtilega fjölbreittir. Það eru samt alveg nokkur mjög fyndin grín sem að gera myndina klassíska.,7,Positive
JERRY MAGUIRE,Fyrri hluti myndarinnar er ekkert mjög sérstakur og er frekar ofmetinn og ruglandi yfir höfuð. En aftur á móti er seinni hluti myndarinnar mjög góður. Ástarsaga myndarinnar er sniðug og er leikurinn og leikstjórnin í myndinni einnig til fyrirmyndar.,8,Positive
YOU PEOPLE,"Þó að það sé verið að taka fyrir málefni sem að eru ekki hentug fyrir gamanmynd þá er myndin fyndin. Akbar og Shelley eru mjög pirrandi og skemma myndina smá, en það gerir myndina líka aðeins fyndnari. Myndin er samt aðeins of löng en samt skemmtileg.",7,Positive
UNE ANNÉE POLAIRE,Söguþráðurinn er kannski ekkert beint mjög sérstakur en myndin er samt nokkuð góð og öðruvísi. Leikurinn er líka alveg fínn og er upptakan til fyrirmyndar. Alls ekkert frábær mynd en fín mynd fyrir hvað hún er. Sögusviðið er líka mjög áhugavert.,7,Positive
PERLUR OG SVÍN,Myndin er nógu afþreygjandi og fyndin til þess að vera talin skemmtileg þó að hún sé ekkert sérstök. Það besta við myndina eru karakterarnir og það hefði átt að gera þætti um þessa karaktera. Þó að söguþráðurinn er skrýtinn þá er myndin bara fín.,7,Positive
AIRPLANE!,Klárlega ein besta og sniðugasta gamanmynd mannkynssögunnar. Í gamanmyndum er leikurinn oftast ekkert mjög sérstakur en hérna er hann framúrskarandi. Þetta er líka mjög vönduð og fyndin mynd sem að svarar þörfum áhorfenda. Nánast fullkomin kvikmynd.,9,Positive
VOLAÐA LAND,Þessi mynd er mjög ruglingsleg og skrýtin. Myndin byrjar ágætlega en síðan dettur allt samhengi í sundur og ég skildi eiginlega ekki neitt sem að gerðist í seinni hlutanum. Myndin er samt vönduð og er leikurinn einnig góður en myndin er of listræn.,5,Negative
WALK THE LINE,"Ég vissi ekki hver Johnny Cash var áður en ég sá myndina en eftir að ég sá hana er ég  aðdáandi hans. Eiginlega allt í myndinni er gert mjög vel en leikurinn, handritið, leikstjórnin og leikmyndin er upp á tíu. Með betri ævisögumyndum alllra tíma.",8,Positive
NAPÓLEONSSKJÖLIN,Það besta við myndina er hversu vönduð myndin er framleidd og leikstýrð. Það er samt óþarfi að myndin sé 90% á ensku og síðan vantar samhengi í ákveðnar senur. Leikurinn er samt til fyrirmyndar og er fyrri hluti myndarinnar sérstaklega góður.,7,Positive
A MILLION WAYS TO DIE IN THE WEST,Myndin hefur allavega skemmtilega leikara en söguþráðurinn er samt ekki neitt neitt. Þetta er samt alveg mjög fyndin og skemmtileg mynd. En þegar á botninn er hvolft er þetta líka gleymanleg mynd sem að er ekkert meistaraverk.,7,Positive
THREE AMIGOS,Það sem að virkar best við myndina er frammistaðan og samskiptin hjá aðal tríóinu. Tónlistin í myndinni er líka ein sú besta í kvikmyndasögunni. Það vantaði einhver grín en það var samt fullt af frábærum grínum. Fyrri hluti myndarinnar er samt betri.,8,Positive
TRIANGLE OF SADNESS,Mjög áhugaverð og skemmtileg mynd sem að er samt ekki fullkominn. Hugmyndin er góð en lokaútgáfan hefði getað verið aðeins betri. Leikurinn er samt mjög góður og er handritið og leikstjórn til fyrirmyndar. Karakternir eru líka skemmtilegir.,8,Positive
RUSH HOUR 3,Myndin er betri en önnur myndin því að þessi er aðeins skýrari og eftirminnilegri. Heildarhugmyndin er samt ekkert ný og eru grínin ekkert mjög fersk. Myndin er samt skemmtileg og aðaldóið er enþá frábært. En reyndar byrjar myndin frekar leiðinlega.,7,Positive
DEATH AT A FUNERAL (2010),Þó að myndin eldist ekki mjög vel er hún samt nógu skemmtileg. Söguþráðurinn er frekar heimskulegur en það er mikið af frábærum leikurum í myndinni sem að gera upp fyrir það. Grínin í myndinni voru mjög fyndin en það vantaði fleiri grín.,7,Positive
RUSH HOUR 2,"Ég vildi að öll myndin hefði gerst í Hong Kong í staðinn fyrir að fara aftur til Los Angeles. Myndin er líka ekki jafn eftirminnileg né fersk og fyrsta. Aðaldóið er samt enþá gott og er er myndin góð skemmtun og eru grínin, sagan og spennan frábær.",6,Positive
CADDYSHACK II,Þessi mynd lætur mann bara bera meiri virðingu fyrir fyrstu myndinni. Aðalkarakterinn var óþolandi og hefði Ty Webb átt að fá það hlutverk. Handritið er mjög heimskulegt og myndin er bara mjög leiðinleg. Það eru svona þrjú fyndin grín í myndinni.,3,Negative
RUSH HOUR,Aðaldúóið er bara yfir höfuð skemmtilegt en seinni hluti myndarinnar var samt betri en fyrri hlutinn. Myndin er kannski smá ofmetin vegna löngu spennusenana og það eru til betri grínspennumyndir. Samt er ég aðdáandi af myndinni og er myndin skemmtileg.,7,Positive
CHEAPER BY THE DOZEN (2022),"Ég átti ekki von á því, en mér fannst þessi mynd vera góð. Zach Braff er góður í sínu hlutverki ásamt öðrum leikurum og er myndin bara mjög skemmtilegt. Ég held samt að þetta hefðu frekar átt að vera sjónvarpsþættir heldur en kvikmynd.",7,Positive
CROCODILE DUNDEE IN LOS ANGELES,Efniviðurinn sem að var valinn var agalegur og virkaði alls ekki. Paul Hogan er samt ennþá góður og eru bestu senurnar í myndinni þegar hann er með Jacko eða Mikey. Það eru svona fjögur fyndin grín og handritið er mjög lélegt.,4,Negative
HUSTLE,"Aðalvandamálið við myndina er að hún er bara of leiðinleg yfir höfuð. Aðaldúóið virkaði ágætlega og var dúóið það besta við myndina. En söguþráðurinn er ekki neitt neitt og myndin er líka frekar ruglingsleg. Myndin er líka of löng, en leikurinn var ágætur.",5,Negative
22 JUMP STREET,"Myndin byrjar mjög vel því að framhaldsskólahugmyndin er mjög góð og sniðug. En myndin dalar þegar að þetta fjallar um amerískan fótbolta og vinslit dúósins. Endirinn var samt mjög góður og er myndin alveg fyndin og skemmtileg, þökk sé Ice Cube.",6,Positive
21 JUMP STREET,"Þessi mynd er kannski ekki eitthvað nýtt en aðal dúóið virkar mjög mjög vel. Myndin er aðeins of löng samt og skringilega sett saman en hún er samt mjög skemmtileg og fyndin, þrátt fyrir ofnotaða hugmynd. Ekki besta mynd í heimi, en samt góð mynd.",7,Positive
MALEFICENT,"Til þess að gera góð mynd þarftu að hafa skemmtilega karaktera sem að eru ekki pirrandi, sem að þessi mynd hefur ekki. Ég er ekki beint markhópurinn á  myndina en þessi mynd er bara mjög leiðinleg. Myndin er samt vel gerð og sumir leikarnir voru fínir.",4,Negative
AFTERSUN,Þrátt fyrir að myndin er frekar óskýr og löng er þessi mynd samt mjög skemmtileg. Leikurinn er líka sérstaklega góður og eru allir leikarnir frábærir. Myndin er samt nokkuð endurtekin og hefði mátt færast meira til. Samt mjög góð grunnsaga og handrit.,8,Positive
BEVERLY HILLS COP III,Betri en önnur myndin því að þessi var mynd var eiginlega bara Die Hard í skemmtigarði sem að er gaman. Það er mikið af flottum áhættuatriðum og mikið af góðum húmor. Myndin hefði getað verið gerð nokkrum árum fyrr þegar Eddie var ferskari.,7,Positive
VILLIBRÁÐ,"Það besta við myndina er að hún er mjög skemmtileg og sniðug, þrátt fyrir að vera endurgerð. Myndin er mjög fyndin en ég held að hún hefði getað verið örlítið meira fyndnari. Leikurinn er líka frábær en myndin dalar aðeins þegar hún verður of dramatísk.",8,Positive
DISASTER MOVIE,"Ég hata að segja það en þessi mynd er ekki alslæm eins og allir segja. Þetta er alveg mjög heimskuleg og ófyndin mynd en ég hló nokkrum sinnum og mér leiddist ekki mikið og leikurinn er líka fínn. En handritið, hugmyndin og allt annað er hræðilegt.",4,Negative
TAG,"Mér er sama hvað fólk segir en þessi mynd er frábær. Leikarnir eru það besta við myndina, sem að gera þessa mynd fyndnari og skemmtilegri. Myndin byrjar hægt en hugmyndin er samt mjög góð. Myndin er með betri gamanmyndum allra tíma. Vona að það komi framhald.",9,Positive
LEYNILÖGGA,"Mjög skemmtileg og afþreyandi mynd sem að hefur mjög góð grín, en ekki nógu mörg. Spennusenurnar eru samt mjög góðar og handritið yfir höfuð líka. Leikurinn, leikstjórnin og klippingin eru líka til fyrirmyndar. Án efa ein besta íslenska kvikmyndin.",8,Positive
THE MATRIX,Ein mín umdeildasta skoðun er sú að þessi mynd er ofmetin. Ég ber virðingu fyrir fólki sem að finnst hún vera góð en mér finnst hún vera of leiðinleg eiginlega og ekkert sérstök. Handritið er heldur ekki það gott en það eru góðar spennusenur í endann.,5,Negative
